TaskID,TaskName,Department,Description,Required_Skills,Difficulty,Estimated_Hours,Deadline_Days,Priority,Required_Experience
5001,Enhance Security Module,Engineering,"Enhance Security Module task for Engineering department using Kafka, CI/CD technologies.","Kafka, CI/CD",Hard,27,10,Medium,3
5002,Setup CI/CD in Jenkins,Engineering,"Setup CI/CD in Jenkins task for Engineering department using Flask, PyTorch, Redis technologies.","Flask, PyTorch, Redis",Very Hard,22,4,Low,2
5003,Fix Frontend Bugs,Mobile,"Fix Frontend Bugs task for Mobile department using NumPy, Spring, CSS, Python, HTML technologies.","NumPy, Spring, CSS, Python, HTML",Moderate,29,25,Critical,4
5004,Automate Unit Testing,Platform,"Automate Unit Testing task for Platform department using HTML, MongoDB, React technologies.","HTML, MongoDB, React",Very Hard,36,13,High,3
5005,Integrate Payment Gateway,Infrastructure,"Integrate Payment Gateway task for Infrastructure department using CSS, Java, CI/CD, Selenium technologies.","CSS, Java, CI/CD, Selenium",Easy,22,14,High,10
5006,Setup CI/CD in Jenkins,Engineering,"Setup CI/CD in Jenkins task for Engineering department using NumPy, Django, Microservices, JavaScript technologies.","NumPy, Django, Microservices, JavaScript",Very Hard,22,5,High,10
5007,Optimize Database Query,Platform,"Optimize Database Query task for Platform department using React, Docker, Spring technologies.","React, Docker, Spring",Moderate,36,27,High,2
5008,Implement Cache Layer,Platform,"Implement Cache Layer task for Platform department using Kafka, Spring, Microservices technologies.","Kafka, Spring, Microservices",Hard,30,8,High,6
5009,Setup CI/CD Pipeline,Mobile,"Setup CI/CD Pipeline task for Mobile department using Docker, Spring, GraphQL, Microservices, Pandas technologies.","Docker, Spring, GraphQL, Microservices, Pandas",Moderate,20,20,Medium,3
5010,Design Landing Page,Platform,"Design Landing Page task for Platform department using CSS, MongoDB technologies.","CSS, MongoDB",Hard,28,29,Low,4
5011,Enhance Logging System,Data,"Enhance Logging System task for Data department using Docker, GraphQL, Selenium, Angular, Spring technologies.","Docker, GraphQL, Selenium, Angular, Spring",Easy,20,9,High,4
5012,Migrate Legacy System,QA,"Migrate Legacy System task for QA department using AWS, Flask, Angular, PyTorch, TensorFlow technologies.","AWS, Flask, Angular, PyTorch, TensorFlow",Hard,20,26,Critical,10
5013,Integrate Payment Gateway,Research,"Integrate Payment Gateway task for Research department using CSS, Kafka, Kubernetes technologies.","CSS, Kafka, Kubernetes",Easy,25,30,Low,3
5014,Enhance Error Handling,Engineering,"Enhance Error Handling task for Engineering department using Pandas, Python, Kafka, CI/CD technologies.","Pandas, Python, Kafka, CI/CD",Very Hard,8,15,Critical,9
5015,Enhance Security Module,Platform,"Enhance Security Module task for Platform department using Kubernetes, Node.js, Selenium, Python technologies.","Kubernetes, Node.js, Selenium, Python",Hard,10,27,High,2
5016,Implement Search Feature,Mobile,"Implement Search Feature task for Mobile department using Angular, AWS, HTML technologies.","Angular, AWS, HTML",Moderate,19,19,Low,5
